url,name,title
http://www.epocacosmeticos.com.br/seduction-black-men-eau-de-toilette-antonio-banderas-perfume-masculino/p,Seduction Black Men Eau de Toilette Antonio Banderas - Perfume Masculino,Seduction Black Men Eau de Toilette Antonio Banderas - Perfume Masculino na Época Cosméticos Perfumaria - Época Cosméticos
http://www.epocacosmeticos.com.br/eau-de-lacoste-l-12-12-vert-eau-de-toilette-lacoste-perfume-masculino/p,Eau de Lacoste L.12.12 Vert Eau de Toilette Lacoste - Perfume Masculino - 30ml,Eau de Lacoste L.12.12 Vert Eau de Toilette Lacoste - Perfume Masculino na Época Cosméticos Perfumaria - Época Cosméticos
http://www.epocacosmeticos.com.br/base-ready-fundation-fps20-bareminerals-base/p,Base Ready Fundation FPS20 bareMinerals - Base,Base Ready Fundation FPS20 bareMinerals - Base - Época Cosméticos
http://www.epocacosmeticos.com.br/true-hue-color-protecting-senscience-tratamento-para-cabelos-coloridos/p,True Hue Color Protecting Senscience - Tratamento para Cabelos Coloridos - 28 Cápsulas,True Hue Color Protecting Senscience - Tratamento para Cabelos Coloridos | Época Cosméticos - Época Cosméticos
http://www.epocacosmeticos.com.br/the-secret-eau-de-toilette-antonio-banderas-perfume-masculino/p,The Secret Eau de Toilette Antonio Banderas - Perfume Masculino,The Secret Eau de Toilette Antonio Banderas - Perfume Masculino na Época Cosméticos Perfumaria - Época Cosméticos
http://www.epocacosmeticos.com.br/urban-seduction-blue-men-eau-de-toilette-antonio-banderas-perfume-masculino/p,Urban Seduction Blue Men Eau de Toilette Antonio Banderas - Perfume Masculino - 100ml,Urban Seduction Blue Men Antonio Banderas - Perfume Masculino - Época Cosméticos
http://www.epocacosmeticos.com.br/amplex-caspa-seca-ada-tina-shampoo-anticaspa/p,Amplex Caspa Seca Ada Tina - Shampoo Anticaspa - 200ml,Amplex Caspa Seca Ada Tina - Shampoo Anticaspa - Época Cosméticos
http://www.epocacosmeticos.com.br/beatriz-locao-facial-dermatus-tonico-facial/p,Beatriz Loção Facial Dermatus - Tônico Facial - 120ml,Loção Facial Beatriz Dermatus - Tônico Facial - Época Cosméticos
http://www.epocacosmeticos.com.br/ready-touch-up-veil-fps15-da-bareminerals-po-facial/p,READY Touch Up Veil FPS15 da bareMinerals - Pó Facial,READY Touch Up Veil FPS15 da bareMinerals - Pó Facial - Época Cosméticos
http://www.epocacosmeticos.com.br/redness-solutions-daily-relief-cream-clinique-cuidado-hidrante-facial-diario/p,Redness Solutions Daily Relief Cream Clinique - Cuidado Hidrante Facial Diário - 50ml,Redness Solutions Daily Relief Cream Clinique - Cuidado Hidrante Facial Diário na Época Cosméticos Perfumaria - Época Cosméticos
